Accession Number,Reference Number ,Magazine,Date of Acquisition,Place of Acquisition,Volume,Issue,Release/Publication Date,Release/Publication Month ,Release/Publication Year,Newsstand Price,Size/Measurements,ISB,Primary Format,Image file name,Areas of Interest,Special Issue
,,Ebony,,,,,,July/August,2009,4.99,,,print,ebony_aug_2009.jpg,,Collector's Issue 1 of 4
,,Message,,,,,,May/June ,2009,,,,print,message_may_2009.jpg,,
,,The New York Times Magazine,,,,,1,nov,2009,,,,print,nytmag_1_nov_2009.jpg,,
,,Life Special Issue,,,,,,October ,2009,,,,,,,
,,Today's Black Woman,,,,,,September/Fall 2009 ,2009,5.99,,,print,tbw_sep_2009.jpg,,Fall Fashion Issue/15th Anniversary Issue
,,Prince George's Suite,,,,,,Summmer Fall ,2009,4.95,,,print,princege_sum_2009.jpg,,
,,Plum Pregnancy and Parenting Guide for Women,,,,,,Winter ,2009,,,,print,plum_win_2009.jpg,,
,,Jewel,,,,,,,2009,4.99,,,print,jewel_2009.jpg,,
,,Sophisticate's Black Hair,,,,,,february,2010,,,,print,sportsill_feb_2010.jpg,,
,,Newsweek,,,,,22,March,2010,,,,print,newsweek_22_mar_2010.jpg,,
,,Essence,,,,,,March,2010,3.99,,,print,essence_mar_2010.jpg,,
,,USA Weekend Magazine,,,,,30,April,2010,,,,print,usaweek_30_apr_2010.jpg,https://www.gettyimages.com/detail/news-photo/first-lady-of-the-united-states-of-america-michelle-obama-news-photo/543488962,
,,Conde Nast Traveler,,,,,,May,2010,,,,print,condenast_may_2010.jpg,,
,,Good Housekeeping,,,,,,May,2010,3.49,,,print,goodhouse_may_2010.jpg,,collectors issue: 125th aniversary
,,Jet,,,,,25,October,2010,1.99,,,print,jet_25_oct_2010.jpg,,
,,Modern Luxury DC,,,,,,December,2010,5.95,,,print,dc_dec_2010.jpg,,Arts & Power Issue
,,Ebony,,,,,,jan,2010,,,,,,,
,,Jet,,,,,25,January/February,2010,,,,print,jet_25_jan_2010.jpg,,
,,Scholastic Parent & Child,,,,,,May ,2010,2.95,,,print,Scholastic_may_2010.jpg,,
,,UTNE Reader,,,,,,Septerber,2010,,,,print,utnereader_sep_2010.jpg,,
,,Ladies' Home Journal,,,,,,septermber,2010,2.49,,,print,ladieshome_sep_2010.jpg,,
,,Ebony,,,,,,February,2011,3.99,,,print,ebony_feb_2011.jpg,,Special Issue: 3 Covers
,,Parade,,,,,24,April,2011,,,,print,parade_24_apr_2011.jpg,,
,,Time,,,,,2,May,2011,,,,print,time_02_may_2011.jpg,,
,,Military Spouse,,,,,,July,2011,,,,print,militarys_jul_2011.jpg,,
,,Better Homes and Gardens,,,,,,August,2011,3.99,,,print,betterh_aug_2011.jpg,,
,,Essence,,,,,,October,2011,3.99,,,print,essence_aug_2011.jpg,,
,,Upscale,,,,,,October,2011,3.99,,,print,upscale_oct_2011.jpg,,
,,Acela Arrive,,,,,,May/June,2011,,,,print,acelaar_may_2011.jpg,,
,,AARP,,,,,,September/October,2011,4.50,,,print,aarpmag_sep_2011.jpg,,
,,People,,,,,23,January,2012,,,,print,people_23_jan_2012.jpg,,
,,More,,,,,,February,2012,4.00,,,print,more_oct_2012.jpg,,
,,Prevention,,,,,,March,2012,,,,print,prevent_mar_2012.jpg,,
,,Ebony,,,,,,May,2012,3.99,,,print,ebony_may_2012.jpg,,
,,People,,,,,4,June,2012,,,,print,people_04_jun_2012.jpg,,
,,Parents,,,,,,June,2012,,,,print,parents_jun_2012.jpg,,
,,Parenting,,,,,,August,2012,,,,print,parenting_aug_2012.jpg,,
,,Parade,,,,,2,september,2012,,,,print,parade_02_sep_2012.jpg,,
,,Ladies' Home Journal,,,,,,September,2012,,,,print,ladieshome_sep_2010.jpg,,
,,The Economist,,,,,16,November,2012,,,,print,theecono_16_nov_2012.jpg,,
,,Ebony,,,,,,November,2012,3.99,,,print,ebony_nov_2012.jpg,,Special Collector's Edtion: 32 page look at ...White House
,,Newsmax,,,,,,May ,2012,,,,print,newsmax_may_2012.jpg,,
